reas_group,reas_desc,state,category1,spare4
Houston|BL1 Reasons|Palletizer 1,Emergency Stop,DOWNTIME,Process Failure,5102
Houston|BL1 Reasons|Palletizer 1,Machine Held,DOWNTIME,Process Failure,5103
Houston|BL1 Reasons|Palletizer 1,Machine Stopped,DOWNTIME,Process Failure,5104
Houston|BL1 Reasons|Palletizer 1,Machine Idle,DOWNTIME,Process Failure,5105
Houston|BL1 Reasons|Palletizer 1,Machine Suspended,DOWNTIME,Process Failure,5106
Houston|BL1 Reasons|Palletizer 1,Not In Auto,DOWNTIME,Process Failure,5107
Houston|BL1 Reasons|Palletizer 1,Guard Doors/Safeties,DOWNTIME,Process Failure,5108
Houston|BL1 Reasons|Palletizer 1,Invalid PackML State,DOWNTIME,Process Failure,5109
Houston|BL1 Reasons|Palletizer 1,Communication Fault,DOWNTIME,Process Failure,5110
Houston|BL1 Reasons|Palletizer 1|Palletizer 1 Infeed,Infeed Starved,DOWNTIME,Process Failure,5112
Houston|BL1 Reasons|Palletizer 1|Palletizer 1 Sec Infeed,Infeed Starved,DOWNTIME,Process Failure,5113
Houston|BL1 Reasons|Palletizer 1|Palletizer 1 Disch,Discharge Backup,DOWNTIME,Process Failure,5114
Houston|BL1 Reasons|Palletizer 1|Palletizer 1 Sec Disch,Discharge Backup,DOWNTIME,Process Failure,5115
Houston|BL1 Reasons|Palletizer 1|Palletizer 1 Disch,Discharge Stopped,DOWNTIME,Process Failure,5116
Houston|BL1 Reasons|Palletizer 1|Palletizer 1 Sec Disch,Discharge Stopped,DOWNTIME,Process Failure,5117
Houston|BL1 Reasons|Palletizer 1|Palletizer 1 Infeed,Infeed Stopped,DOWNTIME,Process Failure,5118
Houston|BL1 Reasons|Palletizer 1|Palletizer 1 Sec Infeed,Infeed Stopped,DOWNTIME,Process Failure,5119
Houston|BL1 Reasons|Palletizer 1,SIDE LAYER GUIDES OUT,DOWNTIME,Process Failure,5120
Houston|BL1 Reasons|Palletizer 1,SIDE LAYER GUIDES BACK,DOWNTIME,Process Failure,5121
