reas_group,reas_desc,state,category1,spare4
String|Line1 Reasons|Winder1|General,Operator Stop,DOWNTIME,Process Failure - 2404,2101
String|Line1 Reasons|Winder1|General,Communication Fault,DOWNTIME,Process Failure - 2404,2110
String|Line1 Reasons|Winder1|General,Accumulator Full,DOWNTIME,Process Failure - 2404,2122
String|Line1 Reasons|Winder1|General,Future Fault 2123,DOWNTIME,Process Failure - 2404,2123
String|Line1 Reasons|Winder1|General,Future Fault 2124,DOWNTIME,Process Failure - 2404,2124
String|Line1 Reasons|Winder1|General,Future Fault 2125,DOWNTIME,Process Failure - 2404,2125
String|Line1 Reasons|Winder1|General,Future Fault 2126,DOWNTIME,Process Failure - 2404,2126
String|Line1 Reasons|Winder1|General,Future Fault 2127,DOWNTIME,Process Failure - 2404,2127
String|Line1 Reasons|Winder1|General,Future Fault 2128,DOWNTIME,Process Failure - 2404,2128
String|Line1 Reasons|Winder1|General,Future Fault 2129,DOWNTIME,Process Failure - 2404,2129
String|Line1 Reasons|Winder1|General,Future Fault 2130,DOWNTIME,Process Failure - 2404,2130
String|Line1 Reasons|Winder1|Accumulator,Full,DOWNTIME,Process Failure - 2404,2131
String|Line1 Reasons|Winder1|Accumulator,Not Ready,DOWNTIME,Process Failure - 2404,2132
String|Line1 Reasons|Winder1|Tail Seal,Not Ready,DOWNTIME,Process Failure - 2404,2133
String|Line1 Reasons|Winder1,Threadup Complete,DOWNTIME,Process Failure - 2404,2134
String|Line1 Reasons|Winder1|Lost Ethernet,Threadup Drive 1,DOWNTIME,Process Failure - 2404,2135
String|Line1 Reasons|Winder1|Lost Ethernet,Threadup Drive 2,DOWNTIME,Process Failure - 2404,2136
String|Line1 Reasons|Winder1,UpperPly Control,DOWNTIME,Process Failure - 2404,2200
String|Line1 Reasons|Winder1|UpperPly Control,Operator Stop,DOWNTIME,Process Failure - 2404,2201
String|Line1 Reasons|Winder1|UpperPly Control,Communication Fault,DOWNTIME,Process Failure - 2404,2210
String|Line1 Reasons|Winder1|UpperPly Control,Parent Roll Expired,DOWNTIME,Process Failure - 2404,2221
String|Line1 Reasons|Winder1|UpperPly Control,Splice Upper Ply,DOWNTIME,Process Failure - 2404,2222
String|Line1 Reasons|Winder1|UpperPly Control,Error Following,DOWNTIME,Process Failure - 2404,2223
String|Line1 Reasons|Winder1|UpperPly Control,Invalid Mode,DOWNTIME,Process Failure - 2404,2224
String|Line1 Reasons|Winder1|UpperPly Control,Future Fault 2225,DOWNTIME,Process Failure - 2404,2225
String|Line1 Reasons|Winder1|UpperPly Control,Future Fault 2226,DOWNTIME,Process Failure - 2404,2226
String|Line1 Reasons|Winder1|UpperPly Control,Future Fault 2227,DOWNTIME,Process Failure - 2404,2227
String|Line1 Reasons|Winder1|UpperPly Control,Future Fault 2228,DOWNTIME,Process Failure - 2404,2228
String|Line1 Reasons|Winder1|UpperPly Control,Future Fault 2229,DOWNTIME,Process Failure - 2404,2229
String|Line1 Reasons|Winder1|UpperPly Control,Future Fault 2230,DOWNTIME,Process Failure - 2404,2230
String|Line1 Reasons|Winder1,Rewind,DOWNTIME,Process Failure - 2404,2300
String|Line1 Reasons|Winder1|Rewind,Operator Stop,DOWNTIME,Process Failure - 2404,2301
String|Line1 Reasons|Winder1|Rewind,Communication Fault,DOWNTIME,Process Failure - 2404,2310
String|Line1 Reasons|Winder1|Rewind,Error Following,DOWNTIME,Process Failure - 2404,2321
String|Line1 Reasons|Winder1|Rewind,Error Following,DOWNTIME,Process Failure - 2404,2322
String|Line1 Reasons|Winder1|Rewind,Error Following,DOWNTIME,Process Failure - 2404,2323
