Site,Asset Name,MES Ent in ABLE,Type,PLC
Atlanta Main,Opacifier - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,Bleach - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,Caustic - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,DI H2O - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,Hot DI H2O - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,KI - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,FattyAcidPB - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,FragranceF1 - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,FragranceF2 - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,Pigment PB - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,TBC FA PB - T-1820,None,VIRT,Process GEL PLC
Atlanta Main,Crossover Disabled,None,VIRT,Process TLX PLC
Atlanta Main,Crossover to Side A,None,VIRT,Process TLX PLC
Atlanta Main,Crossover to Side B,None,VIRT,Process TLX PLC
Atlanta Main,Fuji Oil to T-4003,None,VIRT,Process TLX PLC
Atlanta Main,Sanisol to T-4003,None,VIRT,Process TLX PLC
Atlanta Main,T-1231 TMMR Filling,None,VIRT,Process TLX PLC
Atlanta Main,T-1232 TMMR Filling,None,VIRT,Process TLX PLC
Atlanta Main,T-1233 TMMR Filling,None,VIRT,Process TLX PLC
Atlanta Main,T-4003 FMMR Filling,None,VIRT,Process TLX PLC
Atlanta Main,T-1143 Silicate Fill,None,VIRT,Process TLX PLC
Atlanta Main,T-1301 Caustic Fill,None,VIRT,Process TLX PLC
Atlanta Main,T-1616 Fill,None,VIRT,Process TLX PLC
Atlanta Main,T-1617 Fill,None,VIRT,Process TLX PLC
Atlanta Main,T-2002 AO Fill,None,VIRT,Process TLX PLC
Atlanta Main,T-2003 AO Fill,None,VIRT,Process TLX PLC
Atlanta Main,T-3001 Fill,None,VIRT,Process TLX PLC
Atlanta Main,T-3002 Fill,None,VIRT,Process TLX PLC
Atlanta Main,AO to Side A,None,VIRT,Process TLX PLC
Atlanta Main,Bleach to Side A,None,VIRT,Process TLX PLC
Atlanta Main,Caustic to Side A,None,VIRT,Process TLX PLC
Atlanta Main,Silicate to Side A,None,VIRT,Process TLX PLC
Atlanta Main,Softwater to Side A,None,VIRT,Process TLX PLC
Atlanta Main,CCU Scent to Side A,None,VIRT,Process TLX PLC
Atlanta Main,Citrus Scent-Side A,None,VIRT,Process TLX PLC
Atlanta Main,Fragrance to Side A,None,VIRT,Process TLX PLC
Atlanta Main,Fresh Scent - Side A,None,VIRT,Process TLX PLC
Atlanta Main,TMMR Scent to Side A,None,VIRT,Process TLX PLC
Atlanta Main,AO to Side B,None,VIRT,Process TLX PLC
Atlanta Main,Bleach to Side B,None,VIRT,Process TLX PLC
Atlanta Main,Caustic to Side B,None,VIRT,Process TLX PLC
Atlanta Main,Silicate to Side B,None,VIRT,Process TLX PLC
Atlanta Main,Softwater to Side B,None,VIRT,Process TLX PLC
Atlanta Main,CCU Scent to Side B,None,VIRT,Process TLX PLC
Atlanta Main,Citrus Scent-Side B,None,VIRT,Process TLX PLC
