Site,Asset Name,MES Ent in ABLE,Type,PLC
Reno,PML-Zeus Laner,None,VIRT,Zeus Laner PLC
Reno,PML-Zeus Case Former,None,VIRT,Zeus Case Former PLC
Reno,PML-Zeus Case Packer,None,VIRT,Zeus Case Packer PLC
Reno,PML-Zeus Case Sealer,None,VIRT,Zeus Case Packer PLC
Reno,PML-Columbia Palletizer,None,VIRT,Columbia Robot Palletizer PLC
Reno,PML-Columbia Stretchwrap,None,VIRT,Columbia Stretchwrapper PLC
Reno,PML-Atlas Depal,None,VIRT,Atlas Depal PLC
Reno,PML-Atlas Dumper,None,VIRT,Atlas SLCS PLC
Reno,PML-Atlas Unscrambler,None,VIRT,Atlas Unscrambler PLC
Reno,PML-Atlas Rinser,None,VIRT,Atlas Filler Capper PLC
Reno,PML-Atlas Filler Capper,None,VIRT,Atlas Filler Capper PLC
Reno,PML-Atlas Labeler,None,VIRT,Atlas Labeler PLC
Reno,PML-Atlas Infeed Accum,None,VIRT,Atlas SLCS PLC
Reno,PML-Atlas Sleever,None,VIRT,Atlas SLCS PLC
Reno,PML-Atlas Outfeed Accum,None,VIRT,Atlas SLCS PLC
Reno,PML-Atlas Tray Former,None,VIRT,Atlas Tray Former PLC
Reno,PML-Atlas Case Former,None,VIRT,Atlas Case Former PLC
Reno,PML-Atlas Case Packer,None,VIRT,Atlas Case Packer PLC
Reno,PML-Atlas Case CW,None,VIRT,Atlas SLCS PLC
Reno,PML-Atlas Sealer,None,VIRT,Atlas SLCS PLC
Reno,PML-Atlas Print Apply,None,VIRT,Atlas SLCS PLC
Reno,PML-Bottle Case Switcher,None,VIRT,Bottle Case Switcher PLC
Reno,PML-Hartness Palletizer,None,VIRT,Hartness Robot Palletizer PLC
Reno,PML-Hartness Stretchwrap,None,VIRT,Hartness Stretchwrapper PLC
