Site,Asset Name,MES Ent in ABLE,Type,PLC
Atlanta West,Line1 W2 UpperPly,None,VIRT,Line1 Winder2 PI1A PLC
Atlanta West,Line1 W2 Rewind,None,VIRT,Line1 Winder2 PI1A PLC
Atlanta West,Line1 W2 Extractor,None,VIRT,Line1 Winder2 PI1A PLC
Atlanta West,Line1 W2 Unwind1,None,VIRT,Line1 Winder2 PI1A PLC
Atlanta West,Line1 W2 Unwind2,None,VIRT,Line1 Winder2 PI1A PLC
Atlanta West,Line1 W2 LogSaw,None,VIRT,Line1 Winder2 LS1A PLC
Atlanta West,Line1 W2 TailSeal,None,VIRT,Line1 Winder2 TS1A PLC
Atlanta West,Line1 FT Filler1 In1,None,VIRT,K995U4E
Atlanta West,Line1 FT Filler1 In2,None,VIRT,K995U4E
Atlanta West,Line1 FT Filler1 In3,None,VIRT,K995U4E
Atlanta West,Line1 Labeler1 Zn,None,VIRT,ABLE
Atlanta West,Line1 Labeler2 Zn,None,VIRT,ABLE
Atlanta West,Line1 Labeler3 Zn,None,VIRT,ABLE
Atlanta West,Line1 Labelers,None,VIRT,ABLE
Atlanta West,Line1 Filler GL,None,VIRT,K995U4E
Atlanta West,Line1 Label1 GL,None,VIRT,K995U4F
Atlanta West,Line1 Label2 GL,None,VIRT,K995U4F
Atlanta West,Line1 Label3 GL,None,VIRT,K995U4F
Atlanta West,Line1 Label1-FS GL,None,VIRT,K995U4F
Atlanta West,Line1 Label2-FS GL,None,VIRT,K995U4F
Atlanta West,Line1 Label3-FS GL,None,VIRT,K995U4F
Atlanta West,T1400,None,VIRT,Process
Atlanta West,Line1 Fragrance1,None,VIRT,Process
Atlanta West,Line1 Fragrance2,None,VIRT,Process
Atlanta West,Line1 Fragrance3,None,VIRT,Process
Atlanta West,T1410,None,VIRT,Process
Atlanta West,Line2 Fragrance1,None,VIRT,Process
Atlanta West,Line2 Fragrance2,None,VIRT,Process
Atlanta West,Line2 Fragrance3,None,VIRT,Process
